baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UniprotID
ABUW_RS00320	1.73797426423692e-05	0.160700998026212	0.222920214066082	0	1	1	WP_000924617.1
hppD	0.00149572568311741	-0.0208965755746336	0.132797481531716	0	1	1	WP_000353163.1
ABUW_RS00330	0.000258776781511975	-0.0180632913268458	0.140979567806889	0	1	1	WP_000568800.1
ABUW_RS00335	0.00043086509501257	0.157404707406687	0.144647056817889	0	1	1	WP_000141645.1
maiA	0.000553360482361824	0.0900733437244004	0.149498092998237	0	1	1	WP_000781235.1
fahA	0.00188855441037174	0.0544038726901343	0.141050332547758	0	1	1	WP_000435854.1
ABUW_RS00350	0.000855620709591815	0.0291682589106903	0.156164430933072	0	1	1	WP_000107088.1
ABUW_RS00355	8.07754289333526e-05	0.117523362702884	0.185903004380542	0	1	1	WP_000833249.1
zigA	0.000114484508288716	0.0728331916980118	0.173374756938468	0	1	1	WP_000624542.1
ABUW_RS00365	4.08995297016843e-05	0.14421040445476	0.178251069679791	0	1	1	WP_001246958.1
hutC	4.20564444444595e-05	-0.0329823852278414	0.190865938352789	0	1	1	WP_001138319.1
ABUW_RS00375	2.46674157835879e-05	-0.00992116292062387	0.212574752072735	0	1	1	WP_000571157.1
hutU	0.000272486645489265	-0.257266839345623	0.168123700463187	0	1	1	WP_000208428.1
hutH	0.000199729921204046	-0.164965949738052	0.168666711369066	0	1	1	WP_000421600.1
ABUW_RS00390	9.87509743338805e-05	-0.0600285121112846	0.176149056691461	0	1	1	WP_000081467.1
hutI	4.36910983468985e-05	0.0210698131484957	0.184573448776623	0	1	1	WP_000737790.1
hutG	1.70528760410362e-05	-0.0980610207903933	0.203604441679641	0	1	1	WP_001016898.1
ABUW_RS00405	6.2620217137699e-05	0.219259201974342	0.164016314857496	0	1	1	WP_000797607.1
ABUW_RS00410	1.80699126538881e-05	0.229138400324665	0.215391294708784	0	1	1	WP_000414387.1
murI	0.000126893444864695	0.0884365171619858	0.144880552911689	0	1	1	WP_001063719.1;WP_000125346.1
ABUW_RS00420	1.63764478966871e-05	0.271456759275811	0.233015379620369	0	1	1	no_data
ABUW_RS20560	5.95424467967032e-06	0.493818425973193	0.279108446021575	0	1	1	no_data
ABUW_RS00425	4.28758824829898e-05	0.114556218708462	0.172239684404803	0	1	1	WP_000862934.1
ABUW_RS00430	8.12202105417791e-05	0.332941410944647	0.167952843720922	0	1	1	WP_001062713.1
ABUW_RS00435	8.64854698441227e-05	0.229858702896982	0.170030291986442	0	1	1	WP_001097214.1
glmS	0.000513927258608791	0.0487647999113315	0.131841700993523	0	1	1	WP_000334179.1
glmU	0.000224900131103248	0.137589476120296	0.145687802885217	0	1	1	WP_000108585.1
ABUW_RS00450	5.84409075115954e-05	0.0835224534543378	0.164219421596887	0	1	1	WP_000380676.1
thiL	9.68189891893734e-05	0.0506484848813617	0.156542896063589	0	1	1	WP_000807403.1
nusB	0.000120331112636844	-0.0363932071818541	0.151904555861178	0	1	1	WP_000084188.1
ribE	0.000177590707602752	-0.022632399451919	0.149580900656868	0	1	1	WP_001007829.1
ABUW_RS00470	0.000550667822135297	-0.0253431361472373	0.131777501092544	0	1	1	WP_001131389.1
ABUW_RS00475	0.000388586211163399	0.0604201211815943	0.131543718946965	0	1	1	WP_001985281.1
serB	0.000128347055270675	-0.0384594550955332	0.153864774188613	0	1	1	WP_001206799.1
ABUW_RS00485	0.000139117974431567	-0.0733081926820894	0.168341151721944	0	1	1	WP_000255593.1
ABUW_RS00490	0.000293539639757241	-0.0883212727016188	0.139984628931556	0	1	1	WP_000778129.1
dtd	2.26913231778999e-05	0.17716663770075	0.192509880837795	0	1	1	WP_001202027.1
pncB	0.000197016939199479	0.041669376944648	0.1388807292641	0	1	1	WP_000074557.1
ABUW_RS00505	0.000163214785833771	0.0683394415987473	0.141033295996803	0	1	1	WP_000174475.1
asd	0.000664937969207209	-0.0287922459468626	0.143219545839583	0	1	1	WP_000011219.1;WP_000862762.1
ABUW_RS00515	0.000189165129232789	-0.0411280432635576	0.146592841692846	0	1	1	WP_000619878.1
phoR	0.000176084571134645	0.208338970869411	0.161014448173245	0	1	1	WP_000273188.1
phoB	0.000188549685856778	0.210173419224817	0.163739424584892	0	1	1	WP_000650776.1
ABUW_RS00530	4.00837589077476e-05	0.00265557749180733	0.182194995274822	0	1	1	WP_000224581.1
ABUW_RS00535	3.52208547677089e-05	-0.0843526162484787	0.18552032018035	0	1	1	WP_000787753.1
ABUW_RS00540	0.000107839708412632	0.113213602907712	0.149974764772328	0	1	1	WP_001135124.1
ABUW_RS00545	0.000166288311576606	0.0392392009871186	0.173608573116703	0	1	1	WP_000939852.1
ABUW_RS00550	0.000113907751841276	0.0782828826345958	0.155541983389136	0	1	1	WP_001055477.1
ABUW_RS00555	8.69989663770163e-05	-0.0556161749848054	0.20534501275032	0	1	1	WP_000876371.1
ABUW_RS00560	5.48934918083616e-05	0.00513478397066257	0.17282047620752	0	1	1	WP_000999587.1
gshA	0.000142967966815407	0.143516146155116	0.136926324654737	0	1	1	WP_000082281.1
ABUW_RS00570	3.64985551265931e-05	-0.138548659304867	0.183017625862058	0	1	1	WP_001240041.1
ABUW_RS00575	0.000159276851496067	0.202384735328076	0.153235978825205	0	1	1	WP_000898344.1
ABUW_RS19650	6.78675831056466e-05	0.302606210530964	0.215213828335665	0	1	1	WP_001034707.1
ABUW_RS00585	8.55690524936131e-06	0.254264130661206	0.304474345959195	0	1	1	WP_000770763.1
ABUW_RS00590	1.12655671741677e-05	0.429857447265377	0.218897392775103	0	1	1	WP_000877633.1
ABUW_RS00595	1.36310546673389e-05	0.6406939024158	0.527085900327956	0	1	1	WP_001260545.1
ABUW_RS00600	2.03428459133421e-05	0.491056553991403	0.362410881188518	0	1	1	WP_000410830.1
ABUW_RS00605	0.00014740841267925	0.138462562864201	0.145665768992997	0	1	1	WP_001139635.1
ABUW_RS00610	2.6040737129959e-05	0.0447562129500579	0.192348203774055	0	1	1	WP_001021722.1
parE	0.00018863090436704	0.120226380666821	0.136276696541622	0	1	1	WP_000195974.1
ABUW_RS00620	1.43750299577959e-05	0.0540903251497881	0.215056281854382	0	1	1	WP_000605500.1
alc	2.890919180078e-05	0.0732323501983038	0.176893377012635	0	1	1	WP_000212411.1
hpxO	1.95889393080638e-05	0.203861376557611	0.203069289576295	0	1	1	WP_001103537.1
ABUW_RS00635	4.15093024050369e-05	-0.0351623560634013	0.187429582582885	0	1	1	WP_001176274.1
ABUW_RS00640	3.56831004705846e-05	-0.0151848153315072	0.190833329514407	0	1	1	WP_001016448.1
uraH	1.70061315676916e-05	0.279220981552711	0.201993739896399	0	1	1	WP_000626018.1;WP_000167348.1
uraD	1.01679774477041e-05	0.129904457548549	0.239507669560861	0	1	1	WP_000477669.1
puuE	3.12113639951432e-05	0.310163451746773	0.186303505740034	0	1	1	WP_000004703.1
ABUW_RS00660	0.000986824589859574	-0.118726837496532	0.205610016809298	0	1	1	WP_001019316.1
ABUW_RS00665	9.20679169467381e-05	0.105292783967537	0.170268846358229	0	1	1	WP_000958427.1
ABUW_RS00670	0.000221022416696332	0.0570667017676492	0.14076997976747	0	1	1	WP_001258761.1
dsbD	0.000224353091817543	0.10812130166191	0.147138415006038	0	1	1	WP_000733830.1
ABUW_RS00680	6.02764697549223e-05	0.195987787993583	0.175106688590744	0	1	1	WP_000702277.1
ABUW_RS00685	7.02846263538469e-05	0.136077658767916	0.162730789314373	0	1	1	WP_001025107.1
ABUW_RS00690	0.000205372856736017	-0.198329595994778	0.184678517612438	0	1	1	WP_000717012.1
ABUW_RS00695	2.13325951871047e-05	0.108371546171322	0.19936744429629	0	1	1	WP_000913165.1
xth	0.000116286227548608	0.249123533241094	0.164128488832379	0	1	1	WP_000612365.1
pyrE	4.73671134747628e-05	0.264586294964773	0.171032937296408	0	1	1	WP_000211300.1
ABUW_RS00710	4.56068098572007e-05	0.375681591559424	0.195857826151151	0	1	1	WP_001998816.1
ABUW_RS00715	6.60257538564564e-06	0.199321948172974	0.293168995976049	0	1	1	WP_000781166.1
gshB	6.31685172715719e-05	0.1151704806958	0.166252100293119	0	1	1	WP_001265491.1
murG	0.000199622752997729	0.151612777644505	0.141720020583147	0	1	1	WP_000132435.1
murC	0.000222478209671473	0.141811755987164	0.138448502375301	0	1	1	WP_000075472.1
ABUW_RS00735	0.000198851460586965	0.0300556591078507	0.142072860893289	0	1	1	WP_000063665.1
ABUW_RS00740	0.000132964867866788	0.104441987458393	0.143278570790817	0	1	1	WP_000057904.1
ftsA	0.00149458898329069	0.108337877776467	0.143570075366793	0	1	1	WP_001287630.1
ftsZ	0.00182089215040794	0.076869023311831	0.133415661429345	0	1	1	WP_000135734.1
lpxC	0.000264317167101995	-0.00829459104653039	0.140619118375401	0	1	1	WP_000240700.1
ABUW_RS00760	0.000331412142538534	-0.0633900321002921	0.149987199918295	0	1	1	WP_000042455.1
ABUW_RS00765	0.00140702345589953	-0.0444674569160621	0.136971614774558	0	1	1	WP_000557460.1
aceE	0.00244818698421745	0.0465510108789908	0.130883083605668	0	1	1	WP_000896433.1
ABUW_RS00775	0.00159143038476082	-0.040703314212364	0.132005676903601	0	1	1	WP_001166117.1
ABUW_RS00780	2.407864634144e-05	0.304730685674953	0.200340687381737	0	1	1	WP_000900285.1
ABUW_RS00785	0.000209470040236164	0.0782741584374234	0.148940481400305	0	1	1	WP_001154984.1
ABUW_RS00790	0.000128794534388037	0.182001228553746	0.165805012132099	0	1	1	WP_000194085.1
ABUW_RS00795	3.27648083104049e-05	0.178643708683437	0.182979074186529	0	1	1	WP_000505317.1
ABUW_RS00800	2.28868986464291e-05	0.231300606316287	0.207198061325894	0	1	1	WP_000952249.1
guaB	0.000917543444577508	-0.0934076784476604	0.129601924216531	0	1	1	WP_000956023.1
glmM	0.000304230199497127	-0.0487092248902588	0.138888543598819	0	1	1	WP_000119870.1
pdxH	0.000135021903312587	-0.045668957146314	0.162035400029388	0	1	1	WP_001286115.1
recJ	0.000374250996661639	-0.104204372643355	0.177777064368341	0	1	1	WP_000161610.1
ABUW_RS00825	0.00545096940249833	-0.399014135657098	0.167221015644866	0	1	1	WP_000731729.1
prfB	0.000166639202351734	-0.14243065182846	0.146510771338526	0	1	1	no_data
ABUW_RS00835	5.21291477224407e-05	0.0984906716669345	0.165769857758249	0	1	1	WP_000350419.1
ABUW_RS00840	0.000134613935368861	-0.0178272794226729	0.137737034440976	0	1	1	WP_000819049.1
ABUW_RS00845	9.93789473956556e-05	0.144974137560645	0.150504274835386	0	1	1	WP_000224849.1
ABUW_RS00850	3.2651348116894e-05	0.188993430805812	0.187425588383133	0	1	1	WP_001028416.1
ABUW_RS00855	9.25675969528952e-05	0.0804049676994793	0.153092955598918	0	1	1	WP_000752853.1
ABUW_RS00860	4.77970304316478e-05	0.366956380948899	0.183941460914309	0	1	1	WP_000457175.1
acs	0.00045715001382804	-0.133355637327588	0.195919780945598	0	1	1	WP_001002965.1
ABUW_RS00870	1.91918633201651e-05	0.124022860098798	0.19855314593528	0	1	1	WP_000806375.1
ABUW_RS00875	2.36360756634951e-05	0.19492069059426	0.19151096474426	0	1	1	WP_001019415.1
sfnG	0.000107371767417485	0.276355790841118	0.1773753280569	0	1	1	WP_000192774.1
msuE	7.80609790333539e-05	0.488215242253084	0.19347182147956	0	1	1	WP_000145860.1
ABUW_RS00890	0.000126224016464081	0.00238087402177908	0.152608142550184	0	1	1	WP_001023261.1
ABUW_RS00895	0.000610674399366929	-0.0302843026019132	0.149424304684614	0	1	1	WP_001026735.1
ABUW_RS00900	0.000253837319669034	0.089853127425738	0.144766248822561	0	1	1	WP_001089740.1
ABUW_RS00905	6.98523684045752e-05	0.074691799452699	0.223941800267813	0	1	1	WP_000372818.1
ABUW_RS00910	0.000429565954371105	-0.0679452455890779	0.217534014004304	0	1	1	WP_000871885.1
ABUW_RS00915	3.3142125203798e-05	0.0882486581513861	0.192919063020142	0	1	1	WP_001256565.1
betT	0.000623772071428856	-0.0637885113370787	0.146934595068448	0	1	1	WP_001139472.1
omp33-36	0.000895315160384541	-0.314476042228391	0.221249359171675	0	1	1	WP_000733010.1
ABUW_RS00930	0.000629485715716634	0.322817234273976	0.176637552780881	0	1	1	WP_000016108.1
uvrA	0.000718386054528287	0.0454713939067734	0.136263921636361	0	1	1	WP_000083355.1
ABUW_RS00940	6.19293309815846e-05	0.0198519423544079	0.176897978770573	0	1	1	WP_000826320.1
ABUW_RS00945	0.000136744977845828	0.0519562473510497	0.140515964943176	0	1	1	WP_001256573.1
ABUW_RS00950	9.34015697548903e-06	0.122392039006043	0.261900260287551	0	1	1	WP_000580168.1
ABUW_RS00955	4.57821316089387e-06	-0.26134823935935	0.295545759484306	0	1	1	WP_000263326.1
tenA	3.03167827603164e-05	0.27823651205063	0.182356494985767	0	1	1	WP_000899418.1
ABUW_RS00965	0.000123627261061696	-0.0355786461966161	0.175652280074577	0	1	1	WP_000680213.1
ABUW_RS00970	0.000172733689617171	-0.0495448792619126	0.141041771068904	0	1	1	WP_001986480.1
ssb	0.000301587477805223	-0.0579075066992459	0.133261653512805	0	1	1	WP_001215080.1;WP_002014678.1
ABUW_RS00980	4.37851451559411e-05	-0.18738576252404	0.20081026931391	0	1	1	WP_000082714.1
ABUW_RS00985	0.000115388716401009	-0.0110712854085961	0.18367857865161	0	1	1	WP_000431598.1
ABUW_RS00990	5.26997367674704e-05	0.0271863860867003	0.1600089144069	0	1	1	WP_000081859.1
ABUW_RS00995	0.000127753996698138	0.0892618799869292	0.168079262053247	0	1	1	WP_000190767.1
ABUW_RS01000	9.62772129657557e-05	0.111816713340161	0.17359377218052	0	1	1	WP_001257162.1
gabT	0.000125654718641907	0.0522521556134832	0.186636417982232	0	1	1	WP_000369968.1
ABUW_RS01010	0.000466382014145083	-0.0202623231279361	0.143642775356975	0	1	1	WP_000615688.1
ABUW_RS01015	0.000102237883966286	0.305057886196528	0.156591682811368	0	1	1	WP_000912176.1
ABUW_RS01020	0.000249137777618155	0.226690292494003	0.139793134322502	0	1	1	WP_000046156.1
ABUW_RS01025	0.000141854242916033	0.241711298038949	0.179932753326024	0	1	1	WP_000713961.1
ABUW_RS01030	0.000291552339468237	0.0579981204683641	0.135016155663212	0	1	1	WP_000350212.1
ABUW_RS01035	8.43664766512237e-05	0.228593686558862	0.168075326224375	0	1	1	WP_000645059.1
ABUW_RS01040	8.48505167798007e-05	0.20241971151535	0.160792669872255	0	1	1	WP_000114353.1
ABUW_RS01045	1.68413512759567e-05	-0.164817227282938	0.261572613746157	0	1	1	no data
ABUW_RS01050	7.82410764918086e-05	0.130911273834668	0.163009336135316	0	1	1	WP_001089027.1
ABUW_RS01055	1.97828036067372e-05	0.383794444177216	0.195779009423966	0	1	1	WP_000423165.1
ABUW_RS01060	1.68520601731063e-05	0.211957894318293	0.223632745602701	0	1	1	WP_001061073.1
ABUW_RS01065	3.30389506022289e-05	0.0239788818084678	0.194300836400808	0	1	1	WP_000597378.1
ABUW_RS01070	1.25994462357736e-05	0.135158241491552	0.224581858767079	0	1	1	WP_000789147.1
ABUW_RS01075	6.22355297655011e-05	0.13706253327079	0.152095651887757	0	1	1	WP_000877472.1
ABUW_RS01080	7.3073511657076e-05	0.1296709328188	0.171672191009363	0	1	1	WP_000447716.1
ABUW_RS01085	8.44913751868747e-06	0.189261375913666	0.234294980405467	0	1	1	WP_000792640.1
ABUW_RS01090	1.23244956439862e-05	0.315827991452733	0.253772541930554	0	1	1	WP_000455807.1
ABUW_RS01095	1.71778066597762e-05	0.220023518711125	0.219531171851318	0	1	1	WP_000654307.1
ABUW_RS01100	3.07617064892832e-05	0.23081142166986	0.233180997269051	0	1	1	WP_000670913.1
ABUW_RS01105	1.05898686362354e-05	0.230918469607934	0.251190571153081	0	1	1	WP_001215535.1
ABUW_RS01110	3.05726327474272e-05	0.186280709199641	0.20688655594685	0	1	1	WP_000128772.1
ABUW_RS01115	1.76473382982762e-05	0.126840075921367	0.208745032360012	0	1	1	WP_000753355.1
ABUW_RS01120	2.83416754151507e-05	0.330791540301136	0.219354922142161	0	1	1	WP_001178648.1
ABUW_RS01125	2.02481744514049e-05	0.219050502273293	0.223534979218774	0	1	1	WP_000604216.1
ABUW_RS01130	4.46456353776757e-06	0.0923921297613526	0.309918508360166	0	1	1	no data
ABUW_RS01135	0.000302422832563135	-0.0465556843442301	0.133273457284723	0	1	1	WP_001181664.1
ABUW_RS01140	0.000386304120852365	0.00707274020707064	0.209111937537159	0	1	1	WP_000581866.1
ABUW_RS01145	5.57612286074819e-05	0.2197637231936	0.170645835925395	0	1	1	WP_000157128.1
ABUW_RS01150	1.86743986451011e-05	0.422322137950296	0.201964477812524	0	1	1	WP_000458293.1
ABUW_RS01155	1.00196929071186e-05	0.294218159252237	0.248473260655184	0	1	1	WP_000476050.1
ABUW_RS20090	2.69969989745347e-06	1.05578039898349	0.398774031298853	0	1	1	no_data
aqpZ	0.000115582738104859	0.0594205652415524	0.15212074548371	0	1	1	WP_001045986.1
ABUW_RS01165	3.32964847692051e-05	0.0769167153391186	0.210030712921932	0	1	1	WP_001135861.1
ABUW_RS01170	4.1205156514604e-05	0.0603203004607778	0.180887552643454	0	1	1	WP_000911634.1
hisF	0.00016240710849168	-0.108221475493702	0.138115771664557	0	1	1	WP_000880078.1
ABUW_RS01180	6.47155453426566e-05	0.0803715765872375	0.155459755836067	0	1	1	WP_000118180.1
ABUW_RS01185	4.57497256022924e-05	0.0303701584533232	0.169702006352821	0	1	1	WP_001205588.1
ABUW_RS01190	6.01228456623643e-05	-0.100518525578013	0.177807592899864	0	1	1	WP_001088855.1
ABUW_RS01195	6.76095983570263e-05	0.0483626744854419	0.175665653662876	0	1	1	WP_000075489.1
ABUW_RS01200	3.27148171745505e-05	0.210381986804854	0.182846438834434	0	1	1	WP_000083594.1
hisA	0.000123303589039193	0.0429143176921619	0.145038909959322	0	1	1	WP_000905538.1
ABUW_RS01210	3.61029115908866e-05	0.170933253702623	0.182122705031484	0	1	1	WP_001287552.1
ABUW_RS01215	4.50973084991869e-05	-0.00948434996527465	0.17579730175904	0	1	1	WP_001087812.1
