baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UniprotID
ABUW_RS00280	0.000194791220958802	-1.16522449432791	0.169185928157248	0	1	1	WP_000349500.1
ABUW_RS00285	5.89182489289454e-05	-2.9918010114038	0.208992379455049	-4.74563241966018	2.07855878836809e-06	1.25620063845299e-05	WP_000418560.1
ABUW_RS00290	0.000225367805299549	0.723489121663474	0.138416887755124	0	1	1	WP_000917863.1
ABUW_RS00295	0.000324393833537178	0.372441712066221	0.141064626112543	0	1	1	WP_001177091.1
dapA	0.000567729690008296	-0.342041399935426	0.139777000439471	0	1	1	WP_000193600.1
pncA	6.96686434630368e-05	-0.93514682557686	0.163243107653912	0	1	1	WP_001985076.1
ABUW_RS00310	4.53141692002425e-05	-1.24385305802408	0.186356505791571	0	1	1	WP_001275073.1
ABUW_RS00315	4.40966690294621e-05	-4.06375154451299	0.254212778330748	-8.11820537922728	4.73127648087072e-16	9.13301131630766e-15	WP_001071753.1
ABUW_RS00320	1.73797426423692e-05	-3.87802999183769	0.33904507930504	-5.53917489581974	3.03900032482218e-08	2.35355713778644e-07	WP_000924617.1
hppD	0.00149572568311741	-2.01918854152777	0.133652611362232	-0.143570270211692	0.885839818328611	1	WP_000353163.1
ABUW_RS00330	0.000258776781511975	-2.76803409273811	0.148979719063948	-5.1552929322443	2.53234739526661e-07	1.72984293902015e-06	WP_000568800.1
ABUW_RS00335	0.00043086509501257	-0.998883836297681	0.145603113552539	0	1	1	WP_000141645.1
maiA	0.000553360482361824	-1.57558463035503	0.150791495752966	0	1	1	WP_000781235.1
fahA	0.00188855441037174	-1.45946644160877	0.141417691253751	0	1	1	WP_000435854.1
ABUW_RS00350	0.000855620709591815	-1.85559841177879	0.157157004410095	0	1	1	WP_000107088.1
ABUW_RS00355	8.07754289333526e-05	-4.76580312378992	0.248754207836103	-11.1186184460937	1.01836711477263e-28	6.07886831587357e-27	WP_000833249.1
zigA	0.000114484508288716	-4.94683847014345	0.226780176168295	-12.9942507318479	1.31893153129466e-38	1.96825166977818e-36	WP_000624542.1
ABUW_RS00365	4.08995297016843e-05	-2.1749810946243	0.199097479186365	-0.878871472101926	0.379470968191357	0.951128783322005	WP_001246958.1
hutC	4.20564444444595e-05	-2.22317264237201	0.211333190877172	-1.05602267890669	0.290957853705216	0.751402286230246	WP_001138319.1
ABUW_RS00375	2.46674157835879e-05	-2.72893163828645	0.2550993662127	-2.85744198077965	0.00427070702461469	0.0158047766269261	WP_000571157.1
hutU	0.000272486645489265	-1.21053386052051	0.169946557586868	0	1	1	WP_000208428.1
hutH	0.000199729921204046	-1.39407077273934	0.171437979538937	0	1	1	WP_000421600.1
ABUW_RS00390	9.87509743338805e-05	-0.936162217363632	0.179594171086803	0	1	1	WP_000081467.1
hutI	4.36910983468985e-05	-0.884236879498265	0.191422938129179	0	1	1	WP_000737790.1
hutG	1.70528760410362e-05	-1.44639122350146	0.229941763963807	0	1	1	WP_001016898.1
ABUW_RS00405	6.2620217137699e-05	-2.65804494586133	0.185341765894767	-3.55044068283539	0.000384586791509433	0.00166168903235701	WP_000797607.1
ABUW_RS00410	1.80699126538881e-05	-2.48549147644875	0.263040368380245	-1.84569189679256	0.0649369544649126	0.192479284433813	WP_000414387.1
murI	0.000126893444864695	-1.73651159743468	0.151827261780638	0	1	1	WP_001063719.1;WP_000125346.1
ABUW_RS00420	1.63764478966871e-05	-4.36306106739016	0.385931710539715	-6.12300311908935	9.18278964958876e-10	8.54417837899386e-09	no_data
ABUW_RS20560	5.95424467967032e-06	-5.9181178048092	0.870606040392134	-4.500448679456	6.78101756749606e-06	3.82974500172995e-05	no_data
ABUW_RS00425	4.28758824829898e-05	-2.60942958747776	0.201876278523101	-3.01882713479889	0.00253755276167666	0.00972895722856271	WP_000862934.1
ABUW_RS00430	8.12202105417791e-05	-1.62055539617491	0.174897206022383	0	1	1	WP_001062713.1
ABUW_RS00435	8.64854698441227e-05	-0.613679185071481	0.172351981550285	0	1	1	WP_001097214.1
glmS	0.000513927258608791	0.533230207792829	0.131650935699988	0	1	1	WP_000334179.1
glmU	0.000224900131103248	-0.357762103300905	0.146499745310476	0	1	1	WP_000108585.1
ABUW_RS00450	5.84409075115954e-05	-0.257384550614278	0.166581029562312	0	1	1	WP_000380676.1
thiL	9.68189891893734e-05	-1.70315038622878	0.164707260021115	0	1	1	WP_000807403.1
nusB	0.000120331112636844	-0.205484953686448	0.153348368167585	0	1	1	WP_000084188.1
ribE	0.000177590707602752	0.600923019289369	0.14912908362518	0	1	1	WP_001007829.1
ABUW_RS00470	0.000550667822135297	-0.075390954904877	0.132049194173969	0	1	1	WP_001131389.1
ABUW_RS00475	0.000388586211163399	-0.544773684705266	0.132334698971815	0	1	1	WP_001985281.1
serB	0.000128347055270675	-0.205610845305701	0.155170865304232	0	1	1	WP_001206799.1
ABUW_RS00485	0.000139117974431567	1.68435982916568	0.165657337185121	0	1	1	WP_000255593.1
ABUW_RS00490	0.000293539639757241	0.537601214912766	0.139834411412863	0	1	1	WP_000778129.1
dtd	2.26913231778999e-05	-1.46219592894187	0.213714982527596	0	1	1	WP_001202027.1
pncB	0.000197016939199479	-0.746509760364871	0.140781125712241	0	1	1	WP_000074557.1
ABUW_RS00505	0.000163214785833771	-0.820545705915	0.143458991709104	0	1	1	WP_000174475.1
asd	0.000664937969207209	0.608931379026378	0.143100070271589	0	1	1	WP_000011219.1;WP_000862762.1
ABUW_RS00515	0.000189165129232789	1.26988376447488	0.145153518119994	0	1	1	WP_000619878.1
phoR	0.000176084571134645	-1.93185271272913	0.166825405497896	0	1	1	WP_000273188.1
phoB	0.000188549685856778	-1.26219547394234	0.166710943175844	0	1	1	WP_000650776.1
ABUW_RS00530	4.00837589077476e-05	-1.26882835450006	0.193480750396772	0	1	1	WP_000224581.1
ABUW_RS00535	3.52208547677089e-05	-0.111098034230824	0.188933517941416	0	1	1	WP_000787753.1
ABUW_RS00540	0.000107839708412632	0.776946149771767	0.148318226688705	0	1	1	WP_001135124.1
ABUW_RS00545	0.000166288311576606	1.4199474963324	0.171711221561935	0	1	1	WP_000939852.1
ABUW_RS00550	0.000113907751841276	0.938065653607808	0.153750588639594	0	1	1	WP_001055477.1
ABUW_RS00555	8.69989663770163e-05	2.27388741028162	0.199584429845873	1.37228846204649	0.169973656013527	0.466103398679987	WP_000876371.1
ABUW_RS00560	5.48934918083616e-05	0.945243862096434	0.169929058753468	0	1	1	WP_000999587.1
gshA	0.000142967966815407	-0.197665040552299	0.137804251608412	0	1	1	WP_000082281.1
ABUW_RS00570	3.64985551265931e-05	-0.213147252383912	0.187630940685415	0	1	1	WP_001240041.1
ABUW_RS00575	0.000159276851496067	-1.97668194305443	0.158794746373824	0	1	1	WP_000898344.1
ABUW_RS19650	6.78675831056466e-05	-1.86825263548022	0.223194900936678	0	1	1	WP_001034707.1
ABUW_RS00585	8.55690524936131e-06	0.278972909193238	0.300763842884394	0	1	1	WP_000770763.1
ABUW_RS00590	1.12655671741677e-05	-1.70133165784527	0.253440566210468	0	1	1	WP_000877633.1
ABUW_RS00595	1.36310546673389e-05	-4.19515047190003	0.598979379267845	-3.66481810205761	0.000247514432839212	0.00110132568740383	WP_001260545.1
ABUW_RS00600	2.03428459133421e-05	-5.5533297577159	0.536174048512583	-6.62719459767459	3.42126490321093e-11	3.70796307945765e-10	WP_000410830.1
ABUW_RS00605	0.00014740841267925	-1.86956280047878	0.152366701280506	0	1	1	WP_001139635.1
ABUW_RS00610	2.6040737129959e-05	-0.453768033779807	0.199048539715847	0	1	1	WP_001021722.1
parE	0.00018863090436704	-0.398868503302753	0.137372922855943	0	1	1	WP_000195974.1
ABUW_RS00620	1.43750299577959e-05	-1.36363663511312	0.242223522210337	0	1	1	WP_000605500.1
alc	2.890919180078e-05	-1.02869150626936	0.189275222445576	0	1	1	WP_000212411.1
hpxO	1.95889393080638e-05	-3.1625842301191	0.27645714924681	-4.20529631187504	2.60740322676894e-05	0.000134889660264847	WP_001103537.1
ABUW_RS00635	4.15093024050369e-05	0.508417430255536	0.186555047829093	0	1	1	WP_001176274.1
ABUW_RS00640	3.56831004705846e-05	-1.12505890844892	0.201678102391741	0	1	1	WP_001016448.1
uraH	1.70061315676916e-05	-2.14491980775541	0.24385729398408	-0.594281210078846	0.552324043936566	1	WP_000626018.1;WP_000167348.1
uraD	1.01679774477041e-05	-3.58953296005589	0.392130617668329	-4.05358033378649	5.0439667825162e-05	0.000251873759538775	WP_000477669.1
puuE	3.12113639951432e-05	-2.51798609499572	0.219245042862982	-2.36258976819575	0.0181477457249818	0.0605444999251326	WP_000004703.1
ABUW_RS00660	0.000986824589859574	2.7224913098736	0.204954869328414	3.52512390772187	0.000423284751224252	0.00181274264321203	WP_001019316.1
ABUW_RS00665	9.20679169467381e-05	0.580389650288651	0.169162196499371	0	1	1	WP_000958427.1
ABUW_RS00670	0.000221022416696332	0.817546449225363	0.139929084657995	0	1	1	WP_001258761.1
dsbD	0.000224353091817543	-0.695042611372424	0.148553768738817	0	1	1	WP_000733830.1
ABUW_RS00680	6.02764697549223e-05	-2.10673785852442	0.189741737863336	-0.562542852860856	0.573746215393065	1	WP_000702277.1
ABUW_RS00685	7.02846263538469e-05	-1.33893756608019	0.17025025165375	0	1	1	WP_001025107.1
ABUW_RS00690	0.000205372856736017	1.6073538569785	0.18335398203099	0	1	1	WP_000717012.1
ABUW_RS00695	2.13325951871047e-05	0.512740440659004	0.195945481118109	0	1	1	WP_000913165.1
xth	0.000116286227548608	-1.21206808345153	0.168809462140523	0	1	1	WP_000612365.1
pyrE	4.73671134747628e-05	-0.872306389107051	0.177491927352984	0	1	1	WP_000211300.1
ABUW_RS00710	4.56068098572007e-05	-3.26787324743102	0.23491000446162	-5.39727224618128	6.76616804301662e-08	5.01964283114808e-07	WP_001998816.1
ABUW_RS00715	6.60257538564564e-06	-1.36413170530953	0.335576824890755	0	1	1	WP_000781166.1
gshB	6.31685172715719e-05	0.481562494207891	0.164950479945065	0	1	1	WP_001265491.1
murG	0.000199622752997729	-1.16078792501824	0.144653425429337	0	1	1	WP_000132435.1
